Depth ice/snow [m],Age model [ka],δD [‰ SMOW],delta T [°C],Sample ID
49.5,0.976,-393.8,0.38,91
50.05,0.99,-398.5,-0.4,92
50.6,1.005,-398.7,-0.44,93
51.15,1.019,-401.8,-0.95,94
51.7,1.032,-395.2,0.14,95
52.25,1.047,-390.1,0.99,96
52.8,1.061,-393.9,0.36,97
53.35,1.075,-400.6,-0.75,98
53.9,1.089,-400.9,-0.8,99
54.45,1.104,-391.7,0.72,100
55,1.118,-399.3,-0.54,101
55.55,1.133,-386.7,1.55,102
56.1,1.147,-401.5,-0.9,103
56.65,1.161,-398.1,-0.34,104
57.2,1.174,-390.4,0.93,105
57.75,1.188,-389.8,1.03,106
58.3,1.201,-390.7,0.88,107
58.85,1.215,-399.3,-0.54,108
59.4,1.229,-392.5,0.58,109
59.95,1.244,-393.8,0.37,110
60.5,1.258,-394.4,0.27,111
61.05,1.273,-397,-0.16,112
61.6,1.287,-397.8,-0.3,113
62.15,1.302,-388.6,1.23,114
62.7,1.316,-394.7,0.22,115
63.25,1.33,-390.6,0.89,116
63.8,1.345,-397,-0.17,117
64.35,1.359,-386.6,1.55,118
64.9,1.373,-390.6,0.89,119
65.45,1.387,-397,-0.17,120
66,1.401,-396.1,-0.02,121
66.55,1.416,-398.9,-0.48,122
67.1,1.432,-400.2,-0.7,123
67.65,1.448,-398.7,-0.45,124
68.2,1.463,-389.7,1.04,125
68.75,1.479,-401.6,-0.93,126
69.3,1.494,-397.9,-0.32,127
69.85,1.51,-399.2,-0.54,128
70.4,1.525,-397.6,-0.27,129
70.95,1.541,-390.5,0.9,130
71.5,1.556,-401.5,-0.92,131
72.05,1.572,-395.7,0.04,132
72.6,1.588,-394.5,0.24,133
73.15,1.604,-402.9,-1.15,134
73.7,1.621,-401,-0.84,135
74.25,1.637,-391.5,0.73,136
74.8,1.654,-403.4,-1.24,137
75.35,1.67,-393.4,0.42,138
75.9,1.686,-393.8,0.35,139
76.45,1.702,-400.8,-0.81,140
77,1.72,-399.3,-0.56,141
77.55,1.737,-396.6,-0.11,142
78.1,1.754,-395.3,0.1,143
78.65,1.771,-392.6,0.55,144
79.2,1.787,-404.4,-1.41,145
79.75,1.804,-394.4,0.25,146
80.3,1.822,-402.2,-1.04,147
80.85,1.839,-401.9,-0.99,148
81.4,1.856,-393.8,0.35,149
81.95,1.873,-402.3,-1.06,150
82.5,1.889,-385.1,1.79,151
83.05,1.905,-395.9,0,152
83.6,1.922,-395.8,0.01,153
84.15,1.938,-398.2,-0.38,154
84.7,1.956,-394.8,0.18,155
85.25,1.973,-397.7,-0.3,156
85.8,1.99,-400.3,-0.73,157
86.35,2.007,-402.4,-1.08,158
86.9,2.025,-396,-0.02,159
87.45,2.044,-401.4,-0.92,160
88,2.061,-386.1,1.62,161
88.55,2.078,-400.1,-0.7,162
89.1,2.095,-400.3,-0.74,163
89.65,2.113,-393.2,0.44,164
90.2,2.13,-399.7,-0.64,165
90.75,2.147,-397.9,-0.34,166
91.3,2.165,-402,-1.02,167
91.85,2.184,-398.7,-0.48,168
92.4,2.202,-398.6,-0.46,169
92.95,2.219,,0.2,170
93.5,2.237,-390.6,0.86,171
94.05,2.253,-394,0.3,172
94.6,2.271,-397.9,-0.35,173
95.15,2.289,-394.8,0.17,174
95.7,2.306,-408.2,-2.05,175
96.25,2.327,-404.3,-1.41,176
96.8,2.347,-399.6,-0.63,177
97.35,2.367,-400.8,-0.83,178
97.9,2.385,-401.5,-0.94,179
98.45,2.405,-407.7,-1.97,180
99,2.424,-400.5,-0.78,181
99.55,2.443,-395.8,0,182
100.1,2.463,-399.7,-0.65,183
100.65,2.481,-399.6,-0.63,184
101.2,2.5,-394.8,0.16,185
101.75,2.518,-398.5,-0.45,186
102.3,2.535,-390.2,0.92,187
102.85,2.553,-396.4,-0.11,188
103.4,2.571,-392.7,0.51,189
103.95,2.589,-400.4,-0.77,190
104.5,2.607,-393.5,0.37,191
105.05,2.625,-390.6,0.85,192
105.6,2.642,-395.2,0.09,193
106.15,2.659,-396.9,-0.19,194
106.7,2.678,-399.1,-0.56,195
107.25,2.697,-396.9,-0.2,196
107.8,2.715,-401,-0.88,197
108.35,2.733,-387.9,1.29,198
108.9,2.75,-390.3,0.89,199
109.45,2.767,-390.8,0.81,200
110,2.784,-390.2,0.91,201
110.55,2.801,-395.6,0.01,202
111.1,2.818,-387.7,1.32,203
111.65,2.835,-388.9,1.12,204
112.2,2.852,-388.9,1.12,205
112.75,2.87,-395.4,0.04,206
113.3,2.888,-399.5,-0.64,207
113.85,2.906,-401.7,-1,208
114.4,2.924,-392.2,0.57,209
114.95,2.943,-393.9,0.29,210
115.5,2.961,-397.7,-0.34,211
116.05,2.98,-401.1,-0.91,212
116.6,3,-395.7,-0.01,213
117.15,3.019,-398.7,-0.51,214
117.7,3.037,-395,0.1,215
118.25,3.056,-394.7,0.15,216
118.8,3.074,-395.8,-0.03,217
119.35,3.092,-391.8,0.63,218
119.9,3.11,,0.95,219
120.45,3.129,-387.9,1.27,220
121,3.147,-404.4,-1.46,221
121.55,3.165,-401.1,-0.91,222
122.1,3.186,-403.4,-1.3,223
122.65,3.207,-391.8,0.62,224
123.2,3.227,-400.5,-0.82,225
123.75,3.247,-406.2,-1.76,226
124.3,3.267,-392.7,0.47,227
124.85,3.287,-400,-0.74,228
125.4,3.307,-401.9,-1.05,229
125.95,3.326,-391.3,0.7,230
126.5,3.346,-399.8,-0.71,231
127.05,3.365,-404.2,-1.44,232
127.6,3.385,-395.6,-0.01,233
128.15,3.405,-397.2,-0.28,234
128.7,3.425,-398.2,-0.44,235
129.25,3.445,-396.6,-0.18,236
129.8,3.465,-395.6,-0.02,237
130.35,3.484,-392.7,0.46,238
130.9,3.503,-401.8,-1.04,239
131.45,3.522,-387.3,1.35,240
132,3.541,-394.6,0.15,241
132.55,3.559,-397.2,-0.29,242
133.1,3.578,-394.5,0.16,243
133.65,3.598,-399.5,-0.67,244
134.2,3.618,-389.9,0.92,245
134.75,3.636,-390.8,0.77,246
135.3,3.654,-394.4,0.17,247
135.85,3.672,-391.7,0.62,248
136.4,3.691,-389.2,1.03,249
136.95,3.709,-401.6,-1.02,250
137.5,3.727,-387.2,1.36,251
138.05,3.746,-387.8,1.26,252
138.6,3.764,-404.9,-1.57,253
139.15,3.783,-388.9,1.07,254
139.7,3.802,-394.9,0.08,255
140.25,3.822,-393.8,0.26,256
140.8,3.842,-399.6,-0.7,257
141.35,3.861,-400.9,-0.92,258
141.9,3.881,-391,0.72,259
142.45,3.9,-396.1,-0.12,260
143,3.92,-398.5,-0.52,261
143.55,3.94,-396.5,-0.19,262
144.1,3.96,-397.8,-0.41,263
144.65,3.98,-392.9,0.4,264
145.2,3.999,-398.7,-0.56,265
145.75,4.019,-398.9,-0.59,266
146.3,4.038,-390.6,0.78,267
146.85,4.057,-390.4,0.81,268
147.4,4.076,-402.3,-1.16,269
147.95,4.095,-389.9,0.89,270
148.5,4.115,-390.3,0.82,271
149.05,4.134,-398.8,-0.59,272
149.6,4.154,-397.8,-0.42,273
150.15,4.173,-394.9,0.06,274
150.7,4.193,-392.2,0.5,275
151.25,4.212,-404.7,-1.57,276
151.8,4.231,-391.2,0.67,277
152.35,4.25,-387.3,1.31,278
152.9,4.269,-396.4,-0.2,279
153.45,4.288,-387,1.36,280
154,4.307,-398.1,-0.48,281
154.55,4.326,-401.4,-1.03,282
155.1,4.347,-395.2,0,283
155.65,4.367,-393.4,0.29,284
156.2,4.387,-394.9,0.04,285
156.75,4.406,-397.1,-0.32,286
157.3,4.426,-400.6,-0.9,287
157.85,4.445,-393,0.35,288
158.4,4.465,-387.1,1.33,289
158.95,4.484,-397.5,-0.39,290
159.5,4.503,-390.4,0.78,291
160.05,4.521,-399.3,-0.7,292
160.6,4.542,-397.5,-0.4,293
161.15,4.562,-399.9,-0.8,294
161.7,4.582,-395,0.01,295
162.25,4.602,-394.1,0.16,296
162.8,4.622,-393.4,0.27,297
163.35,4.642,-398.4,-0.56,298
163.9,4.661,-395.1,-0.01,299
164.45,4.681,-396,-0.16,300
165,4.701,-397.3,-0.38,301
165.55,4.721,-389.3,0.94,302
166.1,4.741,-399.6,-0.76,303
166.65,4.76,-402.3,-1.21,304
167.2,4.781,-396.7,-0.28,305
167.75,4.801,-397.2,-0.37,306
168.3,4.821,-402,-1.16,307
168.85,4.842,-396.9,-0.32,308
169.4,4.863,-390.9,0.67,309
169.95,4.882,-393.4,0.25,310
170.5,4.901,-395.9,-0.16,311
171.05,4.92,-395.1,-0.03,312
171.6,4.939,-392.7,0.37,313
172.15,4.958,-389,0.98,314
172.7,4.978,-397.9,-0.5,315
173.25,4.997,-398.9,-0.66,316
173.8,5.018,-396.8,-0.32,317
174.35,5.037,-396.6,-0.29,318
174.9,5.057,-392.7,0.36,319
175.45,5.077,-400.6,-0.95,320
176,5.097,-396.3,-0.24,321
176.55,5.118,-395.6,-0.13,322
177.1,5.137,-393.3,0.25,323
177.65,5.156,-391.4,0.56,324
178.2,5.175,-391.3,0.58,325
178.75,5.193,-393.2,0.26,326
179.3,5.212,-397.6,-0.47,327
179.85,5.232,-395.8,-0.17,328
180.4,5.253,-403.1,-1.38,329
180.95,5.273,-396.3,-0.26,330
181.5,5.293,-390.6,0.69,331
182.05,5.312,-396,-0.21,332
182.6,5.332,-390.6,0.68,333
183.15,5.351,-396.3,-0.26,334
183.7,5.37,-394.5,0.03,335
184.25,5.389,-391.4,0.54,336
184.8,5.409,-407.6,-2.14,337
185.35,5.43,-401.2,-1.08,338
185.9,5.453,-402.4,-1.28,339
186.45,5.474,-395,-0.06,340
187,5.495,-402.5,-1.3,341
187.55,5.516,-407.9,-2.19,342
188.1,5.539,-399.6,-0.82,343
188.65,5.561,-394.6,0,344
189.2,5.58,-387.2,1.23,345
189.75,5.598,-396.2,-0.26,346
190.3,5.617,-394,0.1,347
190.85,5.637,-399.1,-0.75,348
191.4,5.657,-395.2,-0.1,349
191.95,5.677,-396,-0.24,350
192.5,5.697,-400.4,-0.97,351
193.05,5.717,-391.1,0.57,352
193.6,5.736,-399.2,-0.77,353
194.15,5.756,-386.2,1.38,354
194.7,5.774,-398.9,-0.72,355
195.25,5.793,-389,0.91,356
195.8,5.811,-388.4,1.01,357
196.35,5.831,-400.4,-0.98,358
196.9,5.85,-392.7,0.29,359
197.45,5.868,-391,0.57,360
198,5.887,-392.5,0.32,361
198.55,5.905,-397.7,-0.54,362
199.1,5.926,-399.8,-0.89,363
199.65,5.946,-398.7,-0.71,364
200.2,5.967,-403.7,-1.54,365
200.75,5.989,-397.4,-0.5,366
201.3,6.009,-391.7,0.45,367
201.85,6.028,-394.5,-0.02,368
202.4,6.047,-396.8,-0.4,369
202.95,6.067,-399.2,-0.8,370
203.5,6.087,-394,0.06,371
204.05,6.107,-391.4,0.49,372
204.6,6.127,-403.5,-1.52,373
205.15,6.147,-389.5,0.8,374
205.7,6.166,-399.9,-0.93,375
206.25,6.186,-397.4,-0.51,376
206.8,6.205,-398.6,-0.71,377
207.35,6.225,-394.1,0.03,378
207.9,6.245,-398.4,-0.68,379
208.45,6.265,-401.7,-1.23,380
209,6.286,-392.6,0.27,381
209.55,6.306,-395.4,-0.19,382
210.1,6.326,-402.1,-1.3,383
210.65,6.346,-403.6,-1.55,384
211.2,6.367,-396.5,-0.38,385
211.75,6.388,-402.5,-1.37,386
212.3,6.409,-398.8,-0.76,387
212.85,6.43,-397,-0.47,388
213.4,6.449,-389.4,0.79,389
213.95,6.468,-395,-0.14,390
214.5,6.487,-404.9,-1.78,391
215.05,6.509,-402.2,-1.34,392
215.6,6.531,-389.2,0.81,393
216.15,6.55,-397,-0.48,394
216.7,6.57,-401.8,-1.27,395
217.25,6.59,-398.4,-0.71,396
217.8,6.612,-407.8,-2.27,397
218.35,6.633,-395.4,-0.22,398
218.9,6.654,-403.1,-1.5,399
219.45,6.675,-406.1,-2,400
220,6.695,-390.4,0.6,401
220.55,6.715,-392.6,0.23,402
221.1,6.735,-395.7,-0.28,403
221.65,6.755,-402.9,-1.47,404
222.2,6.775,-401.9,-1.31,405
222.75,6.797,-401.2,-1.2,406
223.3,6.818,-400.4,-1.07,407
223.85,6.838,-397.5,-0.59,408
224.4,6.858,-389.4,0.75,409
224.95,6.877,-395.4,-0.25,410
225.5,6.895,-387.9,0.99,411
226.05,6.913,-398.3,-0.73,412
226.6,6.933,-398.7,-0.8,413
227.15,6.953,-401.3,-1.23,414
227.7,6.974,-396.8,-0.49,415
228.25,6.994,-395.6,-0.29,416
228.8,7.013,-402.5,-1.44,417
229.35,7.034,-399.5,-0.94,418
229.9,7.056,-397.8,-0.66,419
230.45,7.076,-400.5,-1.11,420
231,7.097,-400.8,-1.16,421
231.55,7.118,-396.1,-0.39,422
232.1,7.139,-405.3,-1.91,423
232.65,7.16,-411.9,-3,424
233.2,7.183,-401.7,-1.32,425
233.75,7.206,-399.3,-0.93,426
234.3,7.228,-404.7,-1.82,427
234.85,7.249,-403.1,-1.56,428
235.4,7.27,-402.3,-1.43,429
235.95,7.292,-396.1,-0.4,430
236.5,7.311,-388.3,0.88,431
237.05,7.33,-398.5,-0.81,432
237.6,7.349,-406.3,-2.1,433
238.15,7.371,-399.9,-1.04,434
238.7,7.392,-404.7,-1.84,435
239.25,7.414,-403.8,-1.69,436
239.8,7.436,-395,-0.24,437
240.35,7.457,-402.8,-1.53,438
240.9,7.478,-404.2,-1.77,439
241.45,7.498,-399.1,-0.93,440
242,7.519,-393.3,0.03,441
242.55,7.539,-399.1,-0.93,442
243.1,7.557,-389.2,0.7,443
243.65,7.576,-397.7,-0.71,444
244.2,7.595,-388.4,0.83,445
244.75,7.614,-400.3,-1.14,446
245.3,7.633,-403.7,-1.71,447
245.85,7.655,-398.3,-0.82,448
246.4,7.676,-396.1,-0.46,449
246.95,7.695,-390.7,0.43,450
247.5,7.714,-404.7,-1.88,451
248.05,7.733,-400.2,-1.14,452
248.6,7.753,-388.5,0.79,453
249.15,7.773,-390.4,0.47,454
249.7,7.792,-405.5,-2.03,455
250.25,7.812,-399.5,-1.04,456
250.8,7.833,-402.1,-1.47,457
251.35,7.854,-402.2,-1.49,458
251.9,7.874,-395.2,-0.34,459
252.45,7.894,-391.6,0.26,460
253,7.913,-396.5,-0.56,461
253.55,7.933,-399.5,-1.06,462
254.1,7.953,-400.6,-1.24,463
254.65,7.974,-401.6,-1.41,464
255.2,7.995,-400.6,-1.25,465
255.75,8.016,-406.3,-2.19,466
256.3,8.038,-398.3,-0.87,467
256.85,8.06,-411.7,-3.09,468
257.4,8.083,-399.8,-1.13,469
257.95,8.104,-396.9,-0.65,470
258.5,8.124,-401.4,-1.4,471
259.05,8.145,-405.3,-2.04,472
259.6,8.168,-408.3,-2.54,473
260.15,8.191,-406.5,-2.25,474
260.7,8.213,-400.8,-1.31,475
261.25,8.235,-403.2,-1.71,476
261.8,8.256,-397.5,-0.77,477
262.35,8.277,-401,-1.35,478
262.9,8.298,-401.5,-1.43,479
263.45,8.319,-400.4,-1.26,480
264,8.34,-400.3,-1.24,481
264.55,8.361,-407.3,-2.4,482
265.1,8.383,-403,-1.69,483
265.65,8.405,-404.2,-1.89,484
266.2,8.427,-401.2,-1.4,485
266.75,8.448,-397.2,-0.74,486
267.3,8.468,-396.9,-0.7,487
267.85,8.488,-397.8,-0.85,488
268.4,8.508,-409.5,-2.79,489
268.95,8.529,-397.1,-0.74,490
269.5,8.55,-390.3,0.38,491
270.05,8.57,-397.5,-0.81,492
270.6,8.589,-401.9,-1.54,493
271.15,8.609,-392.4,0.02,494
271.7,8.629,-399.9,-1.22,495
272.25,8.648,-399.3,-1.13,496
272.8,8.668,-396.7,-0.7,497
273.35,8.688,-402.1,-1.6,498
273.9,8.709,-401.8,-1.55,499
274.45,8.73,-397.5,-0.84,500
275,8.75,-400.2,-1.29,501
275.55,8.77,-395,-0.44,502
276.1,8.79,-404.4,-2,503
276.65,8.811,-402.1,-1.62,504
277.2,8.833,-397.9,-0.93,505
277.75,8.852,-393.4,-0.19,506
278.3,8.872,-397.7,-0.9,507
278.85,8.891,-397.4,-0.86,508
279.4,8.911,-397.4,-0.86,509
279.95,8.931,-399,-1.13,510
280.5,8.95,-391.8,0.05,511
281.05,8.969,-392.7,-0.1,512
281.6,8.988,-401.1,-1.49,513
282.15,9.008,-396.1,-0.67,514
282.7,9.027,-397.7,-0.94,515
283.25,9.047,-395.6,-0.59,516
283.8,9.066,-398.6,-1.09,517
284.35,9.086,-394.9,-0.49,518
284.9,9.105,-394.9,-0.49,519
285.45,9.126,-407.4,-2.56,520
286,9.147,-403.4,-1.9,521
286.55,9.168,-392.2,-0.06,522
287.1,9.187,-400.4,-1.42,523
287.65,9.207,-391.1,0.11,524
288.2,9.224,-388.5,0.54,525
288.75,9.242,-394.8,-0.51,526
289.3,9.262,-397.7,-0.99,527
289.85,9.281,-401.2,-1.57,528
290.4,9.301,-391.9,-0.04,529
290.95,9.319,-393.3,-0.28,530
291.5,9.338,-394.3,-0.45,531
292.05,9.357,-395,-0.57,532
292.6,9.376,-392.4,-0.14,533
293.15,9.394,-393.5,-0.33,534
293.7,9.412,-390,0.24,535
294.25,9.43,,0.36,536
294.8,9.447,-388.5,0.48,537
295.35,9.464,-394.3,-0.48,538
295.9,9.484,-403.6,-2.02,539
296.45,9.504,-393.3,-0.33,540
297,9.523,-398,-1.11,541
297.55,9.542,-391,0.04,542
298.1,9.561,-395.8,-0.75,543
298.65,9.578,-386.4,0.79,544
299.2,9.596,-391.8,-0.1,545
299.75,9.614,-398.2,-1.16,546
300.3,9.633,-391.6,-0.08,547
300.85,9.652,-393.4,-0.38,548
301.4,9.669,-384.4,1.11,549
301.95,9.686,-391.3,-0.04,550
302.5,9.704,-391,0.01,551
303.05,9.721,-388.3,0.45,552
303.6,9.738,-391.4,-0.07,553
304.15,9.755,-382.9,1.33,554
304.7,9.772,-387.2,0.62,555
305.25,9.789,-405.5,-2.4,556
305.8,9.809,-391.7,-0.13,557
306.35,9.828,-392.1,-0.2,558
306.9,9.847,-400.4,-1.57,559
307.45,9.866,-386.7,0.68,560
308,9.884,-394.5,-0.61,561
308.55,9.902,-389.9,0.15,562
309.1,9.92,-394.7,-0.65,563
309.65,9.939,-396.6,-0.97,564
310.2,9.957,-388.6,0.35,565
310.75,9.976,-392.9,-0.36,566
311.3,9.994,-395.2,-0.75,567
311.85,10.012,-389.1,0.26,568
312.4,10.029,-388.7,0.32,569
312.95,10.047,-391.8,-0.2,570
313.5,10.065,-388.8,0.29,571
314.05,10.083,-397.7,-1.18,572
314.6,10.101,-390.4,0.02,573
315.15,10.117,-382.1,1.39,574
315.7,10.134,-387.9,0.43,575
316.25,10.151,-390.6,-0.02,576
316.8,10.169,-393.3,-0.47,577
317.35,10.187,-388.1,0.38,578
317.9,10.205,-391.6,-0.2,579
318.45,10.222,-396.9,-1.08,580
319,10.241,-398.7,-1.38,581
319.55,10.259,-386.6,0.61,582
320.1,10.278,-390.7,-0.07,583
320.65,10.295,-391.2,-0.15,584
321.2,10.313,-389.5,0.12,585
321.75,10.331,-400.9,-1.76,586
322.3,10.35,-388.6,0.26,587
322.85,10.369,-397.9,-1.27,588
323.4,10.388,-393,-0.47,589
323.95,10.407,-394.4,-0.71,590
324.5,10.426,-399.4,-1.53,591
325.05,10.445,-388.2,0.31,592
325.6,10.462,-386.8,0.53,593
326.15,10.479,-383,1.16,594
326.7,10.495,-387.5,0.41,595
327.25,10.511,-390.1,-0.02,596
327.8,10.527,-377.1,2.12,597
328.35,10.543,-397.4,-1.23,598
328.9,10.562,-390.6,-0.12,599
329.45,10.58,-393.2,-0.55,600
330,10.599,-395.2,-0.88,601
330.55,10.618,-393.7,-0.64,602
331.1,10.637,-392.9,-0.51,603
331.65,10.655,-391.4,-0.27,604
332.2,10.673,-384.5,0.86,605
332.75,10.691,-394.4,-0.77,606
333.3,10.708,-394.8,-0.84,607
333.85,10.727,-395.8,-1.01,608
334.4,10.746,-396.2,-1.08,609
334.95,10.766,-395.4,-0.96,610
335.5,10.784,-391.7,-0.35,611
336.05,10.803,-390.9,-0.22,612
336.6,10.821,-388,0.25,613
337.15,10.838,-392.6,-0.51,614
337.7,10.856,-397.7,-1.36,615
338.25,10.875,-394.3,-0.8,616
338.8,10.895,-391.4,-0.33,617
339.35,10.913,-387.7,0.28,618
339.9,10.931,-395.2,-0.96,619
340.45,10.949,-400.3,-1.81,620
341,10.969,-393.3,-0.66,621
341.55,10.989,-390,-0.12,622
342.1,11.006,-390.9,-0.27,623
342.65,11.024,-387.4,0.3,624
343.2,11.042,-389.7,-0.08,625
343.75,11.06,-398,-1.45,626
344.3,11.079,-396.1,-1.14,627
344.85,11.098,-392,-0.47,628
345.4,11.117,-397.7,-1.41,629
345.95,11.136,-398.9,-1.62,630
346.5,11.157,-394.7,-0.93,631
347.05,11.175,-386.8,0.37,632
347.6,11.192,-385.8,0.53,633
348.15,11.209,-387.9,0.18,634
348.7,11.228,-390.7,-0.29,635
349.25,11.246,-402,-2.15,636
349.8,11.265,-392.6,-0.61,637
350.35,11.283,-390.8,-0.32,638
350.9,11.302,-394.6,-0.95,639
351.45,11.319,-381,1.29,640
352,11.336,-382.1,1.11,641
352.55,11.354,-399.5,-1.77,642
353.1,11.373,-393.5,-0.78,643
353.65,11.392,-398.4,-1.59,644
354.2,11.411,-393.4,-0.77,645
354.75,11.43,-390.9,-0.37,646
355.3,11.448,-386.1,0.42,647
355.85,11.465,-387.8,0.14,648
356.4,11.482,-383.8,0.79,649
356.95,11.499,-386.9,0.28,650
357.5,11.516,-393,-0.73,651
358.05,11.535,-396.6,-1.33,652
358.6,11.554,-394.1,-0.92,653
359.15,11.573,-395.5,-1.16,654
359.7,11.593,-395.4,-1.15,655
360.25,11.612,-389.6,-0.19,656
360.8,11.631,-394.8,-1.05,657
361.35,11.649,-388.3,0.01,658
361.9,11.667,-394.8,-1.06,659
362.45,11.686,-387.9,0.07,660
363,11.704,-396.1,-1.29,661
363.55,11.723,-391.3,-0.5,662
364.1,11.742,-393.6,-0.88,663
364.65,11.76,-387.8,0.07,664
365.2,11.779,-396.1,-1.3,665
365.75,11.798,-403.2,-2.48,666
366.3,11.82,-399.4,-1.85,667
366.85,11.841,-400.8,-2.09,668
367.4,11.863,-399.4,-1.86,669
367.95,11.884,-400.9,-2.11,670
368.5,11.905,-399.2,-1.84,671
369.05,11.927,-404.9,-2.78,672
369.6,11.949,-404,-2.64,673
370.15,11.972,-398.2,-1.69,674
370.7,11.993,-400,-1.99,675
371.25,12.014,-399.8,-1.96,676
371.8,12.037,-406.2,-3.02,677
372.35,12.059,-403.5,-2.57,678
372.9,12.082,-405.5,-2.91,679
373.45,12.106,-414.8,-4.44,680
374,12.131,-406.2,-3.03,681
374.55,12.156,-405.8,-2.97,682
375.1,12.181,-410.9,-3.81,683
375.65,12.205,-403.7,-2.63,684
376.2,12.227,-400.6,-2.12,685
376.75,12.25,-409.6,-3.61,686
377.3,12.273,-401.2,-2.23,687
377.85,12.297,-413.3,-4.23,688
378.4,12.324,-414.3,-4.4,689
378.95,12.35,-408.8,-3.49,690
379.5,12.376,-417.4,-4.91,691
380.05,12.402,-406.8,-3.17,692
380.6,12.427,-404.3,-2.76,693
381.15,12.452,-412.4,-4.1,694
381.7,12.477,-412.6,-4.14,695
382.25,12.503,-410.9,-3.86,696
382.8,12.53,-420.8,-5.5,697
383.35,12.559,-417.2,-4.91,698
383.9,12.588,-418.8,-5.17,699
384.45,12.617,-415.6,-4.65,700
385,12.646,-418.6,-5.15,701
385.55,12.673,-410.9,-3.88,702
386.1,12.7,-413.7,-4.35,703
386.65,12.727,-412.7,-4.19,704
387.2,12.754,-419.3,-5.28,705
387.75,12.784,-420.8,-5.53,706
388.3,12.813,-412.1,-4.1,707
388.85,12.841,-416,-4.74,708
389.4,12.867,-408.8,-3.56,709
389.95,12.894,-413.9,-4.41,710
390.5,12.922,-416.4,-4.82,711
391.05,12.95,-417.7,-5.04,712
391.6,12.978,-414.9,-4.58,713
392.15,13.005,-410.4,-3.85,714
392.7,13.032,-411.6,-4.05,715
393.25,13.059,-415,-4.61,716
393.8,13.087,-418.4,-5.17,717
394.35,13.115,-415.5,-4.7,718
394.9,13.143,-412.9,-4.27,719
395.45,13.17,-408,-3.47,720
396,13.196,-410.8,-3.94,721
396.55,13.222,-414.8,-4.6,722
397.1,13.249,-408.7,-3.6,723
397.65,13.275,-408.5,-3.57,724
398.2,13.3,-411.8,-4.12,725
398.75,13.327,-412.8,-4.28,726
399.3,13.354,-419,-5.31,727
399.85,13.383,-417.5,-5.06,728
400.4,13.412,-414,-4.49,729
400.95,13.44,-416.6,-4.92,730
401.5,13.468,-410.8,-3.97,731
402.05,13.495,-403.4,-2.76,732
402.6,13.52,-413.7,-4.46,733
403.15,13.546,-410.2,-3.88,734
403.7,13.572,-415.9,-4.83,735
404.25,13.6,-416.8,-4.98,736
404.8,13.629,-417.3,-5.06,737
405.35,13.658,-417.1,-5.03,738
405.9,13.687,-411.9,-4.18,739
406.45,13.715,-415.5,-4.78,740
407,13.742,-413.4,-4.43,741
407.55,13.77,-405,-3.06,742
408.1,13.796,-417.2,-5.07,743
408.65,13.822,-405.5,-3.15,744
409.2,13.848,-414.3,-4.6,745
409.75,13.875,-414.8,-4.68,746
410.3,13.903,-412,-4.23,747
410.85,13.93,-407.5,-3.49,748
411.4,13.956,-403.4,-2.82,749
411.95,13.979,-402.3,-2.64,750
412.5,14.002,-405.9,-3.24,751
413.05,14.028,-410.4,-3.98,752
413.6,14.053,-410.8,-4.05,753
414.15,14.08,-413.4,-4.48,754
414.7,14.106,-406,-3.27,755
415.25,14.131,-402.6,-2.71,756
415.8,14.156,-404.3,-3,757
416.35,14.18,-406.9,-3.43,758
416.9,14.205,-411.2,-4.14,759
417.45,14.23,-392.2,-1.02,760
418,14.252,-397.7,-1.93,761
418.55,14.273,-399.1,-2.16,762
419.1,14.295,-402.3,-2.69,763
419.65,14.318,-401.1,-2.5,764
420.2,14.341,-403.9,-2.96,765
420.75,14.364,-401.2,-2.52,766
421.3,14.39,-418.2,-5.32,767
421.85,14.417,-408.8,-3.78,768
422.4,14.442,-402.3,-2.71,769
422.95,14.467,-411.1,-4.17,770
423.5,14.493,-411.1,-4.17,771
424.05,14.52,-407.3,-3.55,772
424.6,14.547,-413.6,-4.59,773
425.15,14.574,-411.2,-4.2,774
425.7,14.601,-418.6,-5.42,775
426.25,14.631,-415.7,-4.94,776
426.8,14.66,-411.3,-4.22,777
427.35,14.688,-416.2,-5.03,778
427.9,14.716,-412.6,-4.44,779
428.45,14.744,-407.6,-3.62,780
429,14.77,-410.1,-4.04,781
429.55,14.796,-411.6,-4.29,782
430.1,14.823,-407.5,-3.62,783
430.65,14.85,-409.9,-4.02,784
431.2,14.876,-411.3,-4.25,785
431.75,14.904,-419,-5.52,786
432.3,14.933,-399.4,-2.3,787
432.85,14.959,-413,-4.54,788
433.4,14.984,-416.4,-5.1,789
433.95,15.014,-416.3,-5.09,790
434.5,15.042,-410,-4.05,791
435.05,15.07,-410.7,-4.17,792
435.6,15.097,-412.7,-4.5,793
436.15,15.125,-411.8,-4.36,794
436.7,15.153,-414.2,-4.76,795
437.25,15.182,-416.6,-5.16,796
437.8,15.211,-420,-5.72,797
438.35,15.242,-418.5,-5.47,798
438.9,15.273,-419.6,-5.66,799
439.45,15.304,-418.7,-5.51,800
440,15.335,-420.1,-5.74,801
440.55,15.366,-419.8,-5.7,802
441.1,15.397,-414,-4.75,803
441.65,15.427,-416.2,-5.11,804
442.2,15.457,-417.6,-5.35,805
442.75,15.487,-421.6,-6.01,806
443.3,15.518,-416.6,-5.19,807
443.85,15.549,-423.8,-6.37,808
