Depth ice/snow [m],Age model [ka],δD [‰ SMOW],delta T [°C],Sample ID
2549.8,327.298,-394.4,0.46,4637
2550.35,327.432,-394.6,0.41,4638
2550.9,327.56,-390.8,1.04,4639
2551.45,327.685,-389.8,1.19,4640
2552,327.818,-393.5,0.57,4641
2552.55,327.949,-392.1,0.79,4642
2553.1,328.083,-392.6,0.7,4643
2553.65,328.217,-392,0.8,4644
2554.2,328.351,-392.8,0.66,4645
2554.75,328.477,-388.5,1.36,4646
2555.3,328.604,-388.4,1.36,4647
2555.85,328.733,-389.9,1.11,4648
2556.4,328.864,-390.5,1,4649
2556.95,329.001,-394,0.41,4650
2557.5,329.141,-395.2,0.2,4651
2558.05,329.275,-391.6,0.79,4652
2558.6,329.415,-395.7,0.1,4653
2559.15,329.551,-391.5,0.78,4654
2559.7,329.684,-393.2,0.49,4655
2560.25,329.82,-393.2,0.47,4656
2560.8,329.952,-391.3,0.77,4657
2561.35,330.083,-390.3,0.92,4658
2561.9,330.213,-390,0.96,4659
2562.45,330.343,-389.8,0.97,4660
2563,330.482,-394.7,0.15,4661
2563.55,330.616,-391.2,0.71,4662
2564.1,330.753,-393.4,0.32,4663
2564.65,330.89,-393.1,0.35,4664
2565.2,331.036,-397.2,-0.34,4665
2565.75,331.179,-395.6,-0.1,4666
2566.3,331.322,-395.6,-0.12,4667
2566.85,331.461,-394.4,0.05,4668
2567.4,331.599,-393,0.26,4669
2567.95,331.725,-388.2,1.03,4670
2568.5,331.849,-388.1,1.02,4671
2569.05,331.979,-388.8,0.88,4672
2569.6,332.097,-383.1,1.79,4673
2570.15,332.217,-382.7,1.83,4674
2570.7,332.33,-381.4,2.01,4675
2571.25,332.442,-379.4,2.32,4676
2571.8,332.549,-376.5,2.77,4677
2572.35,332.653,-373.3,3.27,4678
2572.9,332.762,-377.6,2.53,4679
2573.45,332.872,-377.4,2.54,4680
2574,332.976,-373.3,3.19,4681
2574.55,333.079,-373.1,3.19,4682
2575.1,333.179,-371.2,3.48,4683
2575.65,333.277,-369.4,3.75,4684
2576.2,333.379,-371.7,3.34,4685
2576.75,333.485,-372.2,3.23,4686
2577.3,333.59,-371.3,3.35,4687
2577.85,333.697,-373.8,2.9,4688
2578.4,333.803,-373,3.01,4689
2578.95,333.902,-368.6,3.7,4690
2579.5,334,-368.9,3.62,4691
2580.05,334.103,-373.1,2.9,4692
2580.6,334.207,-371.8,3.09,4693
2581.15,334.316,-374,2.69,4694
2581.7,334.422,-372.8,2.87,4695
2582.25,334.528,-373,2.81,4696
2582.8,334.642,-377.4,2.04,4697
2583.35,334.763,-379.9,1.6,4698
2583.9,334.88,-379.7,1.61,4699
2584.45,335,-381.1,1.36,4700
2585,335.12,-382.2,1.15,4701
2585.55,335.25,-385.8,0.53,4702
2586.1,335.376,-384,0.8,4703
2586.65,335.514,-389.1,-0.07,4704
2587.2,335.655,-392.3,-0.62,4705
2587.75,335.798,-392.4,-0.66,4706
2588.3,335.947,-394,-0.95,4707
2588.85,336.098,-397.1,-1.48,4708
2589.4,336.26,-399.6,-1.92,4709
2589.95,336.426,-400.8,-2.14,4710
2590.5,336.591,-400.8,-2.17,4711
2591.05,336.762,-403.6,-2.65,4712
2591.6,336.937,-405.2,-2.94,4713
2592.15,337.117,-404.1,-2.78,4714
2592.7,337.296,-406.3,-3.17,4715
2593.25,337.478,-406.1,-3.16,4716
2593.8,337.667,-408,-3.5,4717
2594.35,337.864,-410.8,-3.98,4718
2594.9,338.064,-411.5,-4.12,4719
2595.45,338.274,-414.3,-4.6,4720
2596,338.492,-417,-5.07,4721
2596.55,338.724,-420.6,-5.68,4722
2597.1,338.953,-419.4,-5.5,4723
2597.65,339.19,-422,-5.95,4724
2598.2,339.435,-423.5,-6.21,4725
2598.75,339.69,-425.5,-6.55,4726
2599.3,339.949,-427.9,-6.96,4727
2599.85,340.22,-428.7,-7.1,4728
2600.4,340.5,-432.4,-7.71,4729
2600.95,340.798,-436.5,-8.39,4730
2601.5,341.121,-441.3,-9.18,4731
2602.05,341.454,-443.6,-9.56,4732
2602.6,341.774,-440.2,-8.99,4733
2603.15,342.103,-441.6,-9.22,4734
2603.7,342.448,-444.3,-9.66,4735
2604.25,342.761,-440.2,-8.98,4736
2604.8,343.098,-441.2,-9.14,4737
2605.35,343.404,-436.3,-8.33,4738
2605.9,343.728,-440.6,-9.03,4739
2606.45,344.041,-438.2,-8.62,4740
2607,344.368,-439.6,-8.85,4741
2607.55,344.688,-439.6,-8.84,4742
2608.1,345.001,-437.8,-8.53,4743
2608.65,345.317,-438.8,-8.69,4744
2609.2,345.623,-436.4,-8.29,4745
2609.75,345.934,-437.3,-8.43,4746
2610.3,346.257,-440.1,-8.88,4747
2610.85,346.557,-434.8,-8.01,4748
2611.4,346.868,-437.6,-8.46,4749
2611.95,347.181,-437.8,-8.49,4750
2612.5,347.466,-431.4,-7.44,4751
2613.05,347.769,-435.7,-8.14,4752
2613.6,348.09,-439.4,-8.74,4753
2614.15,348.408,-438.6,-8.61,4754
2614.7,348.707,-434.9,-8,4755
2615.25,348.969,-425.9,-6.52,4756
2615.8,349.26,-433.2,-7.73,4757
2616.35,349.54,-430,-7.2,4758
2616.9,349.821,-430.5,-7.28,4759
2617.45,350.106,-431,-7.36,4760
2618,350.41,-435.5,-8.1,4761
2618.55,350.702,-432.5,-7.61,4762
2619.1,351,-433.9,-7.83,4763
2619.65,351.3,-434.3,-7.89,4764
2620.2,351.6,-434.2,-7.87,4765
2620.75,351.895,-433.3,-7.72,4766
2621.3,352.195,-434.2,-7.86,4767
2621.85,352.494,-434.9,-7.97,4768
2622.4,352.794,-432.8,-7.63,4769
2622.95,353.09,-432.6,-7.59,4770
2623.5,353.379,-431.4,-7.4,4771
2624.05,353.67,-434.7,-7.94,4772
2624.6,353.958,-432.3,-7.55,4773
2625.15,354.272,-436,-8.15,4774
2625.7,354.6,-438.6,-8.58,4775
2626.25,354.935,-439.9,-8.79,4776
2626.8,355.274,-441.2,-9,4777
2627.35,355.609,-440.4,-8.87,4778
2627.9,355.944,-440.4,-8.87,4779
2628.45,356.268,-438.3,-8.52,4780
2629,356.594,-438.6,-8.57,4781
2629.55,356.927,-439.9,-8.78,4782
2630.1,357.259,-439.5,-8.7,4783
2630.65,357.598,-441,-8.94,4784
2631.2,357.935,-441.3,-8.99,4785
2631.75,358.282,-440.2,-8.8,4786
2632.3,358.614,-437.9,-8.41,4787
2632.85,358.947,-438.6,-8.52,4788
2633.4,359.281,-439.7,-8.7,4789
2633.95,359.599,-434.5,-7.84,4790
2634.5,359.931,-439.2,-8.6,4791
2635.05,360.248,-434.6,-7.84,4792
2635.6,360.585,-440.1,-8.74,4793
2636.15,360.892,-433.8,-7.69,4794
2636.7,361.223,-438.1,-8.39,4795
2637.25,361.534,-435.1,-7.89,4796
2637.8,361.835,-432.1,-7.4,4797
2638.35,362.15,-433.4,-7.61,4798
2638.9,362.473,-437.4,-8.26,4799
2639.45,362.766,-430.2,-7.07,4800
2640,363.06,-424.2,-6.07,4801
2640.55,363.354,-430.5,-7.11,4802
2641.1,363.66,-433.2,-7.55,4803
2641.65,363.958,-431.1,-7.2,4804
2642.2,364.264,-432.7,-7.46,4805
2642.75,364.592,-436.9,-8.14,4806
2643.3,364.919,-437.3,-8.19,4807
2643.85,365.224,-432.3,-7.36,4808
2644.4,365.526,-431.6,-7.23,4809
2644.95,365.836,-433.7,-7.58,4810
2645.5,366.147,-433.6,-7.55,4811
2646.05,366.456,-433.1,-7.46,4812
2646.6,366.774,-435.2,-7.8,4813
2647.15,367.084,-433.4,-7.5,4814
2647.7,367.388,-431.5,-7.18,4815
2648.25,367.688,-428.8,-6.73,4816
2648.8,367.993,-432.8,-7.38,4817
2649.35,368.303,-434.4,-7.64,4818
2649.9,368.64,-438.4,-8.29,4819
2650.45,368.963,-435.6,-7.82,4820
2651,369.275,-433.1,-7.4,4821
2651.55,369.586,-432.9,-7.36,4822
2652.1,369.881,-429.3,-6.77,4823
2652.65,370.184,-431,-7.04,4824
2653.2,370.488,-431.1,-7.06,4825
2653.75,370.768,-425.7,-6.17,4826
2654.3,371.057,-427.7,-6.49,4827
2654.85,371.345,-427.5,-6.46,4828
2655.4,371.633,-427.1,-6.39,4829
2655.95,371.921,-427.4,-6.44,4830
2656.5,372.202,-425.4,-6.11,4831
2657.05,372.472,-422.9,-5.7,4832
2657.6,372.725,-418.4,-4.96,4833
2658.15,372.989,-421.2,-5.42,4834
2658.7,373.266,-424.1,-5.9,4835
2659.25,373.551,-425.7,-6.16,4836
2659.8,373.845,-427.7,-6.49,4837
2660.35,374.151,-430,-6.86,4838
2660.9,374.489,-436.6,-7.94,4839
2661.45,374.825,-435.7,-7.78,4840
2662,375.158,-435,-7.66,4841
2662.55,375.486,-433.8,-7.45,4842
2663.1,375.809,-432.7,-7.26,4843
2663.65,376.132,-432.5,-7.22,4844
2664.2,376.45,-431.3,-7.01,4845
2664.75,376.753,-428,-6.46,4846
2665.3,377.062,-429.3,-6.67,4847
2665.85,377.364,-428.1,-6.46,4848
2666.4,377.67,-428.4,-6.5,4849
2666.95,377.965,-426.6,-6.2,4850
2667.5,378.283,-430.6,-6.85,4851
2668.05,378.588,-427.6,-6.35,4852
2668.6,378.883,-425.1,-5.93,4853
2669.15,379.174,-424.4,-5.81,4854
2669.7,379.465,-424.1,-5.76,4855
2670.25,379.748,-422.2,-5.44,4856
2670.8,380.019,-419,-4.91,4857
2671.35,380.291,-419.4,-4.97,4858
2671.9,380.571,-421.3,-5.28,4859
2672.45,380.846,-419.7,-5.02,4860
2673,381.118,-419.1,-4.92,4861
2673.55,381.38,-416.1,-4.42,4862
2674.1,381.644,-417.2,-4.6,4863
2674.65,381.912,-412.1,-3.76,4864
2675.2,382.178,-416.7,-4.52,4865
2675.75,382.468,-420.6,-5.15,4866
2676.3,382.754,-421.2,-5.24,4867
2676.85,383.036,-420.3,-5.09,4868
2677.4,383.342,-425.7,-5.97,4869
2677.95,383.645,-425.2,-5.87,4870
2678.5,383.956,-426.4,-6.06,4871
2679.05,384.256,-423.9,-5.63,4872
2679.6,384.549,-422.4,-5.37,4873
2680.15,384.839,-421.3,-5.18,4874
2680.7,385.107,-416.4,-4.36,4875
2681.25,385.389,-419.6,-4.88,4876
2681.8,385.673,-420,-4.93,4877
2682.35,385.943,-416.3,-4.31,4878
2682.9,386.207,-416.4,-4.32,4879
2683.45,386.469,-410.2,-3.29,4880
2684,386.716,-406.5,-2.67,4881
2684.55,386.977,-413.9,-3.88,4882
2685.1,387.253,-418.1,-4.56,4883
2685.65,387.537,-419.3,-4.74,4884
2686.2,387.839,-423.1,-5.35,4885
2686.75,388.144,-423.4,-5.37,4886
2687.3,388.467,-427.3,-5.99,4887
2687.85,388.788,-426.7,-5.86,4888
2688.4,389.137,-432,-6.7,4889
2688.95,389.481,-430.9,-6.48,4890
2689.5,389.805,-427,-5.8,4891
